说明,待产包清单（可发给家人一起勾选）
医院,目标医院：长沙市中心医院（南华大学附属长沙中心医院）
地址,地址：长沙市雨花区韶山南路 161 号（铁道学院对面）
完成时间,建议完成：孕 36 周前封箱，放门口或后备箱（夜间也能 5 分钟拿走）

分类,物品,建议数量,谁准备,何时带/何时买,是否已备,备注
证件袋,产妇身份证（原件）,1,产妇/家属,入院当天随身,,复印件另夹一份
证件袋,配偶身份证（原件）,1,家属,入院当天随身,,办出生证明、落户也会用
证件袋,医保电子凭证 + 社保卡,已登录即可,产妇,入院当天随身,,「湘医保」提前登录，别只靠现场网络
证件袋,医院诊疗卡 / 就诊卡,1,产妇,入院当天随身,,有卡就带，没有用身份证办理
证件袋,产检手册和全部报告,全套,产妇,入院当天随身,,含 B 超、化验、糖耐、胎监
证件袋,住院证,1,产妇,医生开了立刻放进袋,,没住院证不能办住院
证件袋,结婚证、户口本,原件,家属,办证时再送，不必整天放病房,,出生证明、落户常用
证件袋,银行卡 + 少量现金,2 张卡 / 少量现金,家属,入院当天,,预交款常见 2000–3000 元，以窗口为准
证件袋,血型 / 过敏 / 紧急联系人纸条,1 张,家属,入院当天随身,,写预产期、血型、过敏史、谁接电话
产妇·衣服,待产裙或哺乳衣（前开扣）,2–3 套,产妇,36 周前备好,,住院几天换洗用
产妇·衣服,纯棉内裤（一次性或普通）,8–10 条,产妇,36 周前备好,,用量比平时月经期多
产妇·衣服,防滑拖鞋 + 袜子,各 1–2,产妇,36 周前备好,,医院地面常湿
产妇·衣服,薄外套,1 件,产妇,36 周前备好,,产房/病房空调可能凉；秋冬再加一件
产妇·衣服,出院换洗衣物,1 套,家属,出院当天送来即可,,不必提前堆在病房
产妇·护理,产妇卫生巾（日用+夜用）,够 3–5 天,产妇,36 周前备好,,量要比平时月经多
产妇·护理,产褥垫 / 看护垫,8–10 张,产妇,36 周前备好,,垫床用
产妇·护理,防溢乳垫 + 乳头舒缓膏,少量,产妇,36 周前备好,,住院开奶用，不必屯一大箱
产妇·护理,湿巾、纸巾、垃圾袋,各 1 包,产妇,36 周前备好,,病房垃圾自己收比较方便
产妇·护理,唇膏、免洗洗手液,各 1,产妇,入院小件,,病房偏干，洗手不便时用
产妇·护理,会阴冲洗器或挤瓶,1,家属,顺产后可再补,,按护士习惯，入院后再买也行
产妇·护理,腹带,1,家属,剖宫产再备,,是否用、松紧听医生护士，不要自己勒太紧
产妇·洗漱用品,牙刷牙膏、毛巾、洗面奶、梳子,个人用量,产妇,36 周前备好,,护肤品少量即可
产妇·洗漱用品,带盖杯 + 吸管,1 套,产妇,36 周前备好,,剖宫产早期喝水方便
产妇·洗漱用品,充电器、充电宝、耳机,各 1,产妇/家属,入院当天,,充电宝满电
产妇·洗漱用品,框架眼镜,1,产妇,如平时戴隐形则改框架,,住院少戴隐形更省事
产妇·吃的,少量零食和自己习惯的水,1 小袋,家属,入院当天,,苏打饼干、独立包装坚果即可；医院有食堂
宝宝（3–5天）,连体衣 / 和尚服（纯棉无骨缝）,3–5 件,家属,36 周前备好,,医院通常有部分被服，仍建议自备
宝宝（3–5天）,包被 / 包巾,2 条,家属,36 周前备好,,秋冬加厚一床，病房仍可能开空调
宝宝（3–5天）,帽子、袜子、护手,各 1–2,家属,36 周前备好,,
宝宝（3–5天）,纸尿裤（新生儿码）,1 小包,家属,32–34 周买,,先买小包装，出院按实际用量补
宝宝（3–5天）,隔尿垫,若干,家属,36 周前备好,,
宝宝（3–5天）,湿巾（无酒精无香精）、柔纸巾,各 1 包,家属,36 周前备好,,棉签按护士指导用，不要自行挖鼻耳
家属陪护,家属身份证,1,家属,入院当天,,办陪护证
家属陪护,换洗衣物、拖鞋、洗漱,1–2 天用量,家属,入院当天,,夜间薄毯或外套一件
家属陪护,充电宝、水杯,各 1,家属,入院当天,,
家属陪护,食堂/外卖支付方式,已开通,家属,入院前确认,,微信/支付宝/银行卡能付即可
家属陪护,陪护证,入院后办理,家属,办好随身带,,进产房着装以护士要求为准
不要带,热得快、电煮锅、电炉,—,全员,全程不要,,住院须知：病房不用明火和电热器具
不要带,大量奶粉、奶瓶,—,全员,先不带,,先按医院喂养指导；需要配方奶再按医嘱买
不要带,贵重首饰、大量现金,—,全员,全程不要,,贵重物品自己保管，病房地方小也不安全
不要带,过多换季衣物、一年用量纸尿裤,—,全员,不要一次搬进医院,,只带几天用量，家里再备一个月的
