说明,待产包清单（可发给家人一起勾选）
医院,目标医院：长沙市中心医院（南华大学附属长沙中心医院）
地址,地址：长沙市雨花区韶山南路 161 号（铁道学院对面）
完成时间,建议完成：孕 36 周前封箱，放门口或后备箱（夜间也能 5 分钟拿走）

分类,物品,建议数量,谁准备,何时带/何时买,是否已备,备注
家里·产妇,产褥期卫生巾、内裤,够回家后一周再补,家属,出院前家里备好,,不必全部搬进医院
家里·产妇,哺乳内衣,3–4 件,产妇,36 周前后,,
家里·产妇,吸奶器,按需,产妇,住院后再决定买/租,,不是人人必须，避免闲置
家里·产妇,收腹带、盆底训练用品,按需,产妇,42 天复查后再听康复意见,,不要自行勒太紧
家里·婴儿,婴儿床或安全同房睡方案,1,家属,出院前,,不建议同被捂睡
家里·婴儿,床单、睡袋或包被,够换洗,家属,出院前,,室温大约 24–26℃ 作参考
家里·婴儿,夜灯、尿布台或床边整理筐、垃圾桶,各 1,家属,出院前,,
家里·婴儿,洗澡盆、浴巾、水温计,1 套,家属,出院前,,
家里·婴儿,婴儿指甲剪、电子体温计,各 1,家属,出院前,,
家里·安全,窗户限位、电线收纳、热水瓶放高处,按家情况,家属,出院前,,满月前减少无关探视，洗手再抱
家里·小药箱,体温计、棉签、无菌纱布,家用少量,家属,出院前,,不替代就医；不要自行给新生儿用药
